title,release_date,rating,director,writer,genres,runtime,original_language,budget,revenue
Uncut Gems,07/04/2020 (TR),71,Josh Safdie,Josh Safdie,"Dram,Gerilim,Suç",2h 16m,İngilizce,"$19,000,000.00","$50,000,000.00"
Love Lies Bleeding,08/03/2024 (US),67,Rose Glass,Rose Glass,"Suç,Romantik,Gerilim",1h 44m,İngilizce,-,"$8,770,948.00"
Gri Kurt,23/03/2012 (TR),66,Joe Carnahan,,"Dram,Gerilim,Aksiyon,Macera",1h 57m,İngilizce,"$25,000,000.00","$77,278,331.00"
,13/09/2019 (US),65,Lorene Scafaria,Lorene Scafaria,"Dram,Komedi,Suç",1h 50m,İngilizce,"$20,000,000.00","$157,600,000.00"
Balayımsı,29/04/2024 (US),66,Elie El Semaan,Ramy Ali,"Romantik,Komedi",1h 40m,Arapça,-,-
,02/05/2024 (AU),67,Kiah Roache-Turner,Kiah Roache-Turner,"Korku,Gerilim",1h 31m,İngilizce,-,"$1,090,798.00"
,16/12/2022 (TR),76,James Cameron,,"Bilim-Kurgu,Macera,Aksiyon",3h 12m,İngilizce,"$460,000,000.00","$2,320,250,281.00"
Solaris,21/02/2003 (TR),59,Steven Soderbergh,,"Dram,Bilim-Kurgu,Gizem",1h 39m,İngilizce,"$47,000,000.00","$30,002,758.00"
Thelma,30/11/2017 (DK),68,Joachim Trier,Joachim Trier,"Dram,Gizem,Gerilim",1h 56m,Norveççe,"$5,700,000.00","$1,500,000.00"
Salgın,09/09/2011 (US),66,Steven Soderbergh,Scott Z. Burns,"Dram,Gerilim,Bilim-Kurgu",1h 46m,İngilizce,"$60,000,000.00","$137,551,594.00"
Kaçakların Peşinde,01/05/1998 (TR),65,Stuart Baird,,"Gerilim,Suç,Aksiyon",2h 11m,İngilizce,"$60,000,000.00","$102,367,405.00"
Testere: Jigsaw Efsanesi,03/11/2017 (TR),62,Peter Spierig,Josh Stolberg,"Korku,Gizem,Gerilim",1h 32m,İngilizce,"$10,000,000.00","$102,952,888.00"
,12/08/1927 (US),72,William A. Wellman,Julian Johnson,"Dram,Aksiyon,Savaş,Romantik",2h 24m,İngilizce,"$2,000,000.00","$3,600,000.00"
Altın,03/02/2017 (TR),66,Stephen Gaghan,Patrick Massett,"Macera,Dram,Gerilim",2h,İngilizce,"$20,000,000.00","$14,880,939.00"
Saklambaç,11/10/2019 (TR),71,Tyler Gillett,Guy Busick,"Komedi,Korku,Gerilim",1h 35m,İngilizce,"$6,000,000.00","$57,600,000.00"
Hard Hit,23/06/2021 (KR),77,Kim Chang-ju,Kim Chang-ju,"Aksiyon,Suç,Dram,Gerilim",1h 30m,Korece,-,-
Meraklı Komşular,17/02/1989 (US),67,Joe Dante,Dana Olsen,"Komedi,Korku,Gerilim",1h 42m,İngilizce,"$18,000,000.00","$49,100,000.00"
Hocus Pocus 2,30/09/2022 (TR),73,Anne Fletcher,Jen D'Angelo,"Fantastik,Komedi,Aile",1h 45m,İngilizce,"$30,000,000.00",-
,31/07/1987 (US),71,Joel Schumacher,,"Korku,Komedi,Gerilim",1h 37m,İngilizce,"$8,500,000.00","$32,222,567.00"
Bohemian Rhapsody,02/11/2018 (TR),80,Bryan Singer,Anthony McCarten,"Müzik,Dram",2h 15m,İngilizce,"$52,000,000.00","$918,355,943.00"
İskoçyalı,29/08/1986 (GB),69,Russell Mulcahy,,"Macera,Aksiyon,Fantastik",1h 50m,İngilizce,"$19,000,000.00","$12,900,000.00"
Forrest Gump,11/11/1994 (TR),85,Robert Zemeckis,,"Komedi,Dram,Romantik",2h 22m,İngilizce,"$55,000,000.00","$677,387,716.00"
Baba III: Sonsöz,25/12/1990 (TR),74,Francis Ford Coppola,,"Suç,Dram,Gerilim",2h 38m,İngilizce,"$54,000,000.00","$136,766,062.00"
title,release_date,rating,director,writer,genres,runtime,original_language,budget,revenue
Ördeklerin Göçü,19/01/2024 (TR),75,Benjamin Renner,,"Animasyon,Aksiyon,Macera,Komedi,Aile",1h 23m,İngilizce,"$72,000,000.00","$298,106,960.00"
Sayen: The Huntress,26/04/2024 (CL),65,Alexander Witt,Patricio Lynch,"Aksiyon,Gerilim",1h 28m,İspanyolca; Kastilyaca,-,-
,05/08/2011 (TR),73,Rupert Wyatt,,"Gerilim,Aksiyon,Dram,Bilim-Kurgu",1h 45m,İngilizce,"$93,000,000.00","$481,800,873.00"
,03/05/2024 (TR),53,Spenser Cohen,Nicholas Adams,"Korku,Gerilim",1h 32m,İngilizce,"$8,250,000.00","$20,215,419.00"
Hayali Arkadaşlar,17/05/2024 (TR),73,John Krasinski,John Krasinski,"Komedi,Fantastik,Aile,Animasyon",1h 44m,İngilizce,"$110,000,000.00","$3,600,000.00"
Evrenler Savaşı,20/07/2022 (KR),69,Choi Dong-hoon,Choi Dong-hoon,"Bilim-Kurgu,Aksiyon,Fantastik,Macera",2h 22m,Korece,"$24,500,000.00","$12,600,000.00"
Barbie,21/07/2023 (TR),71,Greta Gerwig,Greta Gerwig,"Komedi,Macera",1h 54m,İngilizce,"$145,000,000.00","$1,445,638,421.00"
The Long Game,12/04/2024 (US),60,Julio Quintana,Julio Quintana,"Dram,Aile",1h 50m,İngilizce,-,-
,22/12/2023 (JP),78,Takashi Katagiri,,"Animasyon,Komedi,Macera,Aksiyon",1h 50m,Japonca,"$5,000,000.00","$59,256,423.00"
Maymunlar Cehennemi: Savaş,14/07/2017 (TR),72,Matt Reeves,Matt Reeves,"Dram,Bilim-Kurgu,Savaş",2h 20m,İngilizce,"$150,000,000.00","$490,719,763.00"
Yeni Nesil Ajan,13/09/2002 (TR),59,Rob Cohen,,"Aksiyon,Macera,Gerilim,Suç",2h 4m,İngilizce,"$70,000,000.00","$277,500,000.00"
Dune: Çöl Gezegeni,22/10/2021 (TR),78,Denis Villeneuve,,"Bilim-Kurgu,Macera",2h 35m,İngilizce,"$165,000,000.00","$407,573,628.00"
,19/04/2024 (TR),74,Alex Garland,Alex Garland,"Savaş,Aksiyon,Dram",1h 49m,İngilizce,"$50,000,000.00","$108,969,206.00"
Hızlı ve Öfkeli 10,19/05/2023 (TR),71,Louis Leterrier,,"Aksiyon,Suç,Gerilim",2h 22m,İngilizce,"$340,000,000.00","$704,709,660.00"
Bar Fedaisi,21/03/2024 (TR),70,Doug Liman,,"Aksiyon,Gerilim",2h 1m,İngilizce,"$85,000,000.00",-
,21/06/2023 (KR),71,Park Hoon-jung,Park Hoon-jung,"Aksiyon,Gerilim,Dram",1h 58m,Korece,-,-
The Night They Came Home,12/01/2024 (US),61,Paul G. Volk,,"Vahşi Batı,Gerilim,Aksiyon",1h 45m,İngilizce,-,-
Oppenheimer,21/07/2023 (TR),81,Christopher Nolan,Christopher Nolan,"Dram,Tarih",3h 1m,İngilizce,"$100,000,000.00","$952,000,000.00"
,16/02/2024 (TR),56,S.J. Clarkson,,"Aksiyon,Fantastik",1h 56m,İngilizce,"$80,000,000.00","$100,298,817.00"
Arınma,26/04/2024 (TR),62,Michael Mohan,,"Korku,Gizem,Gerilim",1h 29m,İngilizce,"$9,000,000.00","$22,314,913.00"
Gelinin Annesi,09/05/2024 (US),59,Mark Waters,Robin Jill Bernheim,"Romantik,Komedi",1h 30m,İngilizce,-,-
,14/04/1995 (TR),85,Quentin Tarantino,,"Gerilim,Suç",2h 34m,İngilizce,"$8,500,000.00","$213,900,000.00"
,16/02/2018 (TR),74,Ryan Coogler,Ryan Coogler,"Aksiyon,Macera,Bilim-Kurgu",2h 18m,İngilizce,"$200,000,000.00","$1,349,926,083.00"
,11/11/2016 (TR),76,Denis Villeneuve,,"Dram,Bilim-Kurgu,Gizem",1h 56m,İngilizce,"$47,000,000.00","$203,388,186.00"
Captain Marvel,08/03/2019 (TR),68,Ryan Fleck,,"Aksiyon,Macera,Bilim-Kurgu",2h 7m,İngilizce,"$152,000,000.00","$1,131,416,446.00"
,19/11/1973 (TR),81,Stanley Kubrick,,"Bilim-Kurgu,Gizem,Macera",2h 29m,İngilizce,"$12,000,000.00","$71,923,560.00"
,30/07/2010 (TR),84,Christopher Nolan,Christopher Nolan,"Aksiyon,Bilim-Kurgu,Macera",2h 28m,İngilizce,"$160,000,000.00","$825,532,764.00"
X,17/06/2022 (TR),67,Ti West,Ti West,"Korku,Gerilim,Gizem",1h 46m,İngilizce,"$1,000,000.00","$14,740,889.00"
,10/11/2023 (TR),61,Nia DaCosta,Nia DaCosta,"Bilim-Kurgu,Macera,Aksiyon",1h 45m,İngilizce,"$274,800,000.00","$207,089,999.00"
,14/06/2024 (TR),0,Kelsey Mann,Meg LeFauve,"Animasyon,Aile,Dram,Macera,Fantastik",1h 36m,İngilizce,-,-
Yaratık,01/11/1981 (TR),82,Ridley Scott,,"Korku,Bilim-Kurgu",1h 57m,İngilizce,"$11,000,000.00","$104,931,801.00"
Logan: Wolverine,03/03/2017 (TR),78,James Mangold,,"Aksiyon,Dram,Bilim-Kurgu",2h 17m,İngilizce,"$97,000,000.00","$619,021,436.00"
Thor: Ragnarok,27/10/2017 (TR),76,Taika Waititi,Christopher L. Yost,"Aksiyon,Macera,Bilim-Kurgu",2h 11m,İngilizce,"$180,000,000.00","$855,301,806.00"
Av,02/12/1988 (TR),75,John McTiernan,,"Bilim-Kurgu,Aksiyon,Macera,Gerilim",1h 47m,İngilizce,"$15,000,000.00","$98,267,558.00"
X-Men: Dark Phoenix,05/06/2019 (TR),60,Simon Kinberg,Simon Kinberg,"Bilim-Kurgu,Aksiyon,Macera",1h 54m,İngilizce,"$200,000,000.00","$252,442,974.00"
Dehşet Yolcuları,29/03/2024 (TR),58,Julien Leclercq,,"Aksiyon,Gerilim",1h 47m,Fransızca,-,-
Breathe,26/04/2024 (US),51,Stefon Bristol,Doug Simon,"Bilim-Kurgu,Gizem,Gerilim",1h 33m,İngilizce,-,-
Bird Box,12/11/2018 (US),68,Susanne Bier,,"Korku,Gerilim,Dram",2h 4m,İngilizce,"$19,800,000.00",-
Wonder Woman,02/06/2017 (TR),72,Patty Jenkins,,"Aksiyon,Macera,Fantastik",2h 21m,İngilizce,"$149,000,000.00","$823,970,682.00"
Wonka,15/12/2023 (TR),72,Paul King,,"Komedi,Aile,Fantastik",1h 57m,İngilizce,"$125,000,000.00","$632,302,312.00"
Yerçekimi,11/10/2013 (TR),72,Alfonso Cuarón,Alfonso Cuarón,"Bilim-Kurgu,Gerilim,Dram",1h 31m,İngilizce,"$105,000,000.00","$723,192,705.00"
Venom: Zehirli Öfke,05/10/2018 (TR),68,Ruben Fleischer,,"Bilim-Kurgu,Aksiyon",1h 52m,İngilizce,"$116,000,000.00","$856,085,151.00"
Gerçeğe Çağrı,03/08/2012 (US),60,Len Wiseman,,"Aksiyon,Bilim-Kurgu,Gerilim",1h 58m,İngilizce,"$125,000,000.00","$198,800,000.00"
Deadpool 2,18/05/2018 (TR),75,David Leitch,Rhett Reese,"Aksiyon,Komedi,Macera",2h,İngilizce,"$110,000,000.00","$785,896,632.00"
Cadılar Bayramı,26/10/2018 (TR),66,David Gordon Green,Jeff Fradley,"Korku,Gerilim",1h 46m,İngilizce,"$10,000,000.00","$259,900,000.00"
Yaralı Yüz,09/12/1983 (US),82,Brian De Palma,,"Aksiyon,Suç,Dram",2h 50m,İngilizce,"$25,000,000.00","$66,023,329.00"
Yargıç,30/06/1995 (US),58,Danny Cannon,,Bilim-Kurgu,1h 31m,İngilizce,"$90,000,000.00","$113,493,481.00"
Sükût,23/12/2016 (US),71,Martin Scorsese,,"Dram,Tarih",2h 41m,İngilizce,"$46,000,000.00","$23,700,000.00"
,16/10/1998 (TR),73,Alex Proyas,,"Gizem,Bilim-Kurgu",1h 52m,İngilizce,"$27,000,000.00","$27,200,000.00"
,19/10/2001 (TR),57,Tim Burton,,"Gerilim,Bilim-Kurgu,Aksiyon,Macera",2h 1m,İngilizce,"$100,000,000.00","$362,211,740.00"
Kate,10/09/2021 (TR),66,Cedric Nicolas-Troyan,Umair Aleem,Aksiyon,1h 46m,İngilizce,-,-
Hayalet Avcıları,08/06/1984 (US),75,Ivan Reitman,,"Komedi,Fantastik",1h 45m,İngilizce,"$30,000,000.00","$296,187,079.00"
Benim Hikayem,06/05/2020 (US),74,Nadia Hallgren,,Belgesel,1h 29m,İngilizce,-,-
,09/02/1976 (US),82,Martin Scorsese,,"Suç,Dram",1h 54m,İngilizce,"$1,900,000.00","$28,579,636.00"
Uğur Böceği,02/03/2018 (TR),73,Greta Gerwig,Greta Gerwig,"Dram,Komedi",1h 34m,İngilizce,"$10,000,000.00","$79,000,000.00"
,08/08/1986 (US),79,Rob Reiner,,"Suç,Dram",1h 29m,İngilizce,"$8,000,000.00","$52,300,000.00"
Avengers: Sonsuzluk Savaşı,27/04/2018 (TR),82,Anthony Russo,,"Macera,Aksiyon,Bilim-Kurgu",2h 34m,İngilizce,"$300,000,000.00","$2,052,415,039.00"
,15/05/2015 (TR),76,George Miller,George Miller,"Aksiyon,Macera,Bilim-Kurgu",2h 1m,İngilizce,"$150,000,000.00","$378,858,340.00"
The Coffee Table,01/06/2022 (ES),68,Caye Casas,Caye Casas,"Korku,Gerilim,Komedi",1h 31m,İspanyolca; Kastilyaca,-,"$16,630.00"
Korku Şovu,10/11/1982 (US),69,George A. Romero,,"Korku,Komedi",2h,İngilizce,"$8,000,000.00","$21,028,755.00"
Arthur the King,15/03/2024 (US),69,Simon Cellan Jones,Michael Brandt,"Dram,Macera",1h 47m,İngilizce,"$19,000,000.00","$31,649,885.00"
Tehlikeli Tür,22/09/1995 (TR),60,Roger Donaldson,,"Bilim-Kurgu,Korku,Aksiyon",1h 48m,İngilizce,"$35,000,000.00","$113,400,000.00"
,26/03/2021 (US),80,Ilya Naishuller,,"Aksiyon,Gerilim",1h 32m,İngilizce,"$17,000,000.00","$61,779,301.00"
Land of Bad,25/01/2024 (AU),73,William Eubank,,"Aksiyon,Gerilim,Savaş",1h 53m,İngilizce,"$18,000,000.00","$6,461,949.00"
Kapan,21/04/2017 (TR),76,Jordan Peele,Jordan Peele,"Gizem,Gerilim,Korku",1h 44m,İngilizce,"$4,500,000.00","$255,407,969.00"
,20/04/1990 (TR),73,James Cameron,James Cameron,"Macera,Aksiyon,Gerilim,Bilim-Kurgu",2h 51m,İngilizce,"$70,000,000.00","$90,000,098.00"
Halka 3,03/02/2017 (US),50,F. Javier Gutiérrez,,Korku,1h 42m,İngilizce,"$25,000,000.00","$83,080,890.00"
Küçülen Hayatlar,05/01/2018 (TR),53,Alexander Payne,,"Dram,Bilim-Kurgu",2h 15m,İngilizce,"$68,000,000.00","$55,003,890.00"
Tanrıların Yaratılışı I: Fırtınalar Krallığı,20/07/2023 (CN),71,Wuershan,Wuershan,"Aksiyon,Fantastik,Savaş",2h 28m,Çince,"$85,000,000.00","$369,081,777.00"
,10/07/2021 (CN),60,Jie Hou,,Aksiyon,1h 37m,Çince,-,-
Creed II: Efsane Yükseliyor,11/01/2019 (TR),70,Steven Caple Jr.,,"Dram,Aksiyon",2h 10m,İngilizce,"$50,000,000.00","$214,200,000.00"
Aquaman,28/12/2018 (TR),69,James Wan,,"Aksiyon,Macera,Fantastik",2h 23m,İngilizce,"$160,000,000.00","$1,152,028,393.00"
Cadılar Bayramı,25/10/1978 (US),76,John Carpenter,,"Korku,Gerilim",1h 31m,İngilizce,"$325,000.00","$70,300,000.00"
,20/06/1974 (TR),79,Roman Polanski,,"Suç,Dram,Gizem,Gerilim",2h 10m,İngilizce,"$6,000,000.00","$30,000,000.00"
Grease,07/07/1978 (US),74,Randal Kleiser,,"Romantik,Komedi",1h 50m,İngilizce,"$6,000,000.00","$396,300,000.00"
Crooklyn,13/05/1994 (US),68,Spike Lee,,"Komedi,Dram",1h 55m,İngilizce,"$14,000,000.00",-
Melankoli,26/05/2011 (DK),72,Lars von Trier,,"Dram,Bilim-Kurgu",2h 10m,İngilizce,"$7,400,000.00","$15,946,321.00"
Bıçağın İki Yüzü,12/02/1999 (TR),68,Stephen Norrington,David S. Goyer,"Korku,Aksiyon",2h 1m,İngilizce,"$45,000,000.00","$131,183,530.00"
O: Bölüm 2,06/09/2019 (TR),68,Andy Muschietti,,Korku,2h 49m,İngilizce,"$79,000,000.00","$473,123,154.00"
U Dönüşü,03/10/1997 (US),66,Oliver Stone,,"Suç,Dram,Gerilim",2h 5m,İngilizce,"$19,000,000.00","$6,682,098.00"
Kong: Kafatası Adası,10/03/2017 (TR),65,Jordan Vogt-Roberts,,"Aksiyon,Macera,Fantastik",2h,İngilizce,"$185,000,000.00","$566,652,812.00"
Iron Man 3,03/05/2013 (TR),69,Shane Black,,"Aksiyon,Macera,Bilim-Kurgu",2h 12m,İngilizce,"$200,000,000.00","$1,215,577,205.00"
Megamind vs. the Doom Syndicate,01/03/2024 (US),51,Eric Fogel,Alan Schoolcraft,"Animasyon,Komedi,Bilim-Kurgu",1h 25m,İngilizce,-,$9.00
Paragöz,05/11/1970 (US),69,Ronald Neame,,"Fantastik,Dram,Aile",1h 53m,İngilizce,-,-
,13/03/1987 (US),75,Sam Raimi,,"Korku,Komedi,Fantastik",1h 24m,İngilizce,"$3,500,000.00","$10,900,000.00"
Justice League: Crisis on Infinite Earths Part Two,23/04/2024 (US),66,Jeff Wamester,James Krieg,"Animasyon,Bilim-Kurgu,Aksiyon",1h 34m,İngilizce,-,-
,29/09/2023 (TR),71,Gareth Edwards,,"Aksiyon,Macera,Bilim-Kurgu",2h 14m,İngilizce,"$80,000,000.00","$104,000,000.00"
Metropolis,25/08/1927 (DE),81,Fritz Lang,,"Dram,Bilim-Kurgu",2h 33m,Almanca,"$1,300,000.00","$650,422.00"
Suburbicon,27/10/2017 (US),59,George Clooney,George Clooney,"Gerilim,Suç,Dram,Gizem",1h 45m,İngilizce,"$25,000,000.00","$12,751,667.00"
Sessiz Bir Yer,13/04/2018 (TR),74,John Krasinski,,"Korku,Dram,Bilim-Kurgu",1h 30m,İngilizce,"$17,000,000.00","$341,000,000.00"
Zavallılar,09/02/2024 (TR),78,Yorgos Lanthimos,,"Bilim-Kurgu,Romantik,Komedi",2h 22m,İngilizce,"$35,000,000.00","$117,193,959.00"
Ters Yüz,19/06/2015 (TR),79,Pete Docter,,"Animasyon,Aile,Macera,Dram,Komedi",1h 35m,İngilizce,"$175,000,000.00","$857,611,174.00"
,22/12/2017 (TR),62,David Ayer,David Ayer,"Fantastik,Aksiyon,Gerilim",1h 57m,İngilizce,"$90,000,000.00",-
,18/01/2022 (IN),23,John Stephen Baltazar,,"Aksiyon,Komedi",1h 42m,İngilizce,-,-
Can Dostum,01/05/1998 (TR),82,Gus Van Sant,Matt Damon,Dram,2h 7m,İngilizce,"$10,000,000.00","$225,900,000.00"
Centilmen,26/11/2010 (GB),59,Anton Corbijn,,"Suç,Dram,Gerilim",1h 44m,İngilizce,"$20,000,000.00","$67,900,000.00"
Vina: Sebelum 7 Hari,08/05/2024 (ID),58,Anggy Umbara,Dirmawan Hatta,"Dram,Gerilim,Korku,Suç",1h 40m,Endonezce,-,-
Damsel,08/03/2024 (TR),71,Juan Carlos Fresnadillo,,"Fantastik,Aksiyon,Macera",1h 50m,İngilizce,"$60,000,000.00","$5,000.00"
Anne Benim,13/06/2019 (AU),67,Grant Sputore,,"Bilim-Kurgu,Gerilim",1h 53m,İngilizce,-,"$643,593.00"
Dilek,24/11/2023 (TR),65,Chris Buck,,"Animasyon,Aile,Fantastik,Macera",1h 35m,İngilizce,"$175,000,000.00","$251,720,820.00"
Gözü Tamamen Kapalı,22/10/1999 (TR),75,Stanley Kubrick,,"Dram,Gerilim,Gizem",2h 39m,İngilizce,"$65,000,000.00","$162,100,000.00"
Gri Kurt,23/03/2012 (TR),66,Joe Carnahan,,"Dram,Gerilim,Aksiyon,Macera",1h 57m,İngilizce,"$25,000,000.00","$77,278,331.00"
Dolandırıcılar,13/09/2019 (US),65,Lorene Scafaria,Lorene Scafaria,"Dram,Komedi,Suç",1h 50m,İngilizce,"$20,000,000.00","$157,600,000.00"
Gerçeğe Çağrı,26/10/1990 (TR),73,Paul Verhoeven,,"Aksiyon,Macera,Bilim-Kurgu",1h 53m,İngilizce,"$65,000,000.00","$261,317,921.00"
Uncut Gems,07/04/2020 (TR),71,Josh Safdie,Josh Safdie,"Dram,Gerilim,Suç",2h 16m,İngilizce,"$19,000,000.00","$50,000,000.00"
,08/03/2024 (US),67,Rose Glass,Rose Glass,"Suç,Romantik,Gerilim",1h 44m,İngilizce,-,"$8,770,948.00"
Hellraiser,11/09/1987 (GB),69,Clive Barker,Clive Barker,"Korku,Gerilim,Fantastik",1h 34m,İngilizce,"$1,000,000.00","$14,575,193.00"
Yeni Mutantlar,11/09/2020 (TR),61,Josh Boone,Josh Boone,"Bilim-Kurgu,Korku,Aksiyon,Gizem,Macera",1h 34m,İngilizce,"$67,000,000.00","$49,169,594.00"
Kurye,19/01/2024 (ES),65,Daniel Calparsoro,Alejo Flah,"Gerilim,Suç,Dram",1h 42m,İspanyolca; Kastilyaca,"$5,400,000.00","$1,751,343.00"
,18/02/2000 (TR),80,Sam Mendes,Alan Ball,Dram,2h 2m,İngilizce,"$15,000,000.00","$356,296,601.00"
Çocuk ve Balıkçıl,27/10/2023 (TR),74,Hayao Miyazaki,Hayao Miyazaki,"Animasyon,Macera,Fantastik",2h 4m,Japonca,"$50,000,000.00","$173,588,528.00"
Gerçek Kahraman,13/08/2021 (US),75,Shawn Levy,,"Komedi,Macera,Bilim-Kurgu",1h 55m,İngilizce,"$110,000,000.00","$331,500,000.00"
Maymunlar Cehennemi,20/11/1968 (TR),77,Franklin J. Schaffner,,"Bilim-Kurgu,Macera,Dram,Aksiyon",1h 52m,İngilizce,"$5,800,000.00","$32,589,624.00"
Kurayukaba,12/04/2024 (JP),70,Shigeyoshi Tsukahara,,"Animasyon,Macera,Gizem",1h 2m,Japonca,-,-
,24/11/2006 (TR),82,Martin Scorsese,,"Dram,Gerilim,Suç",2h 31m,İngilizce,"$90,000,000.00","$291,465,000.00"
,15/08/1997 (TR),74,Wes Craven,,"Suç,Korku,Gizem",1h 52m,İngilizce,"$14,000,000.00","$173,100,000.00"
Black Panther: Yaşasın Wakanda,11/11/2022 (TR),71,Ryan Coogler,,"Aksiyon,Macera,Bilim-Kurgu",2h 42m,İngilizce,"$250,000,000.00","$859,102,154.00"
Savaş Vadisi,25/11/2016 (TR),82,Mel Gibson,,"Dram,Tarih,Savaş",2h 19m,İngilizce,"$40,000,000.00","$175,302,354.00"
Infested,27/12/2023 (FR),69,Sébastien Vaniček,Sébastien Vaniček,Korku,1h 46m,Fransızca,-,"$2,110,014.00"
Av,13/03/2020 (US),66,Craig Zobel,Nick Cuse,"Aksiyon,Gerilim,Korku",1h 30m,İngilizce,"$14,000,000.00","$10,550,350.00"
Çılgın Romantik,03/02/1995 (TR),75,Tony Scott,Quentin Tarantino,"Aksiyon,Suç,Romantik",2h,İngilizce,"$12,500,000.00","$12,600,000.00"
Yıldız Savaşları: Jedi'nin Dönüşü,25/05/1983 (US),79,Richard Marquand,,"Macera,Aksiyon,Bilim-Kurgu",2h 16m,İngilizce,"$32,350,000.00","$572,700,000.00"
Mavi Kadife,19/09/1986 (US),76,David Lynch,,"Suç,Dram,Gizem,Gerilim",2h,İngilizce,"$6,000,000.00","$8,636,706.00"
İkizler Projesi,11/10/2019 (TR),63,Ang Lee,,"Bilim-Kurgu,Aksiyon,Gerilim",1h 57m,İngilizce,"$140,000,000.00","$173,469,516.00"
X-Men: Apocalypse,27/05/2016 (US),65,Bryan Singer,,"Aksiyon,Macera,Bilim-Kurgu,Fantastik",2h 24m,İngilizce,"$178,000,000.00","$543,934,787.00"
Çıldırmış Ayı,31/03/2023 (TR),61,Elizabeth Banks,Jimmy Warden,"Gerilim,Komedi,Suç",1h 33m,İngilizce,"$32,500,000.00","$87,649,532.00"
Prometheus,01/06/2012 (TR),65,Ridley Scott,Damon Lindelof,"Bilim-Kurgu,Macera,Gizem",2h 4m,İngilizce,"$130,000,000.00","$403,354,469.00"
Godzilla vs. Kong,29/12/2022 (TR),76,Adam Wingard,,"Aksiyon,Bilim-Kurgu,Macera",1h 54m,İngilizce,"$200,000,000.00","$470,116,094.00"
,05/04/2024 (TR),72,Dev Patel,,"Aksiyon,Gerilim",2h 1m,İngilizce,"$10,000,000.00","$33,756,230.00"
,20/06/2019 (TR),75,Josh Cooley,,"Aile,Macera,Animasyon,Komedi,Fantastik",1h 40m,İngilizce,"$175,000,000.00","$1,073,841,394.00"
Büyük Hesaplaşma,01/03/1996 (TR),79,Michael Mann,Michael Mann,"Aksiyon,Suç,Dram",2h 50m,İngilizce,"$60,000,000.00","$187,400,000.00"
,04/08/1995 (TR),66,Peter Farrelly,Peter Farrelly,Komedi,1h 47m,İngilizce,"$16,000,000.00","$247,275,374.00"
O: Bölüm 1,15/09/2017 (TR),72,Andy Muschietti,,Korku,2h 15m,İngilizce,"$35,000,000.00","$704,242,888.00"
Elemental: Doğanın Güçleri,16/06/2023 (TR),77,Peter Sohn,,"Animasyon,Komedi,Aile,Fantastik,Romantik",1h 43m,İngilizce,"$200,000,000.00","$496,000,000.00"
Av 2,05/07/1991 (TR),63,Stephen Hopkins,Jim Thomas,"Bilim-Kurgu,Aksiyon,Gerilim",1h 48m,İngilizce,"$35,000,000.00","$57,120,318.00"
,01/08/2022 (MN),100,Baatar Batsukh,Baatar Batsukh,"Korku,Dram,Gizem,Gerilim",1h 16m,Moğol Dili,-,-
The Ministry of Ungentlemanly Warfare,19/04/2024 (US),72,Guy Ritchie,,"Aksiyon,Savaş,Dram",2h,İngilizce,"$60,000,000.00","$15,915,998.00"
Omen: İlk Kehanet,10/04/2024 (TR),66,Arkasha Stevenson,,Korku,2h,İngilizce,"$30,000,000.00","$52,656,822.00"
,04/08/2017 (US),74,Taylor Sheridan,Taylor Sheridan,"Suç,Dram,Gizem,Gerilim",1h 47m,İngilizce,"$11,000,000.00","$44,998,252.00"
Sri Asih,17/11/2022 (ID),62,Upi Avianto,Upi Avianto,"Aksiyon,Macera,Bilim-Kurgu,Fantastik,Dram",2h 14m,Endonezce,"$1,242,172.00","$4,577,403.00"
Balayımsı,29/04/2024 (US),66,Elie El Semaan,Eiad Saleh,"Romantik,Komedi",1h 40m,Arapça,-,-
Forrest Gump,11/11/1994 (TR),85,Robert Zemeckis,,"Komedi,Dram,Romantik",2h 22m,İngilizce,"$55,000,000.00","$677,387,716.00"
Baba III: Sonsöz,25/12/1990 (TR),74,Francis Ford Coppola,,"Suç,Dram,Gerilim",2h 38m,İngilizce,"$54,000,000.00","$136,766,062.00"
Frekans,08/07/2016 (US),47,Tod Williams,,"Korku,Bilim-Kurgu,Gerilim",1h 38m,İngilizce,-,"$1,133,031.00"
Sting,02/05/2024 (AU),67,Kiah Roache-Turner,Kiah Roache-Turner,"Korku,Gerilim",1h 31m,İngilizce,-,"$1,090,798.00"
Avatar: Suyun Yolu,16/12/2022 (TR),76,James Cameron,,"Bilim-Kurgu,Macera,Aksiyon",3h 12m,İngilizce,"$460,000,000.00","$2,320,250,281.00"
Solaris,21/02/2003 (TR),59,Steven Soderbergh,,"Dram,Bilim-Kurgu,Gizem",1h 39m,İngilizce,"$47,000,000.00","$30,002,758.00"
Thelma,30/11/2017 (DK),68,Joachim Trier,Joachim Trier,"Dram,Gizem,Gerilim",1h 56m,Norveççe,"$5,700,000.00","$1,500,000.00"
,09/09/2011 (US),66,Steven Soderbergh,Scott Z. Burns,"Dram,Gerilim,Bilim-Kurgu",1h 46m,İngilizce,"$60,000,000.00","$137,551,594.00"
Kaçakların Peşinde,01/05/1998 (TR),65,Stuart Baird,,"Gerilim,Suç,Aksiyon",2h 11m,İngilizce,"$60,000,000.00","$102,367,405.00"
